Immagine;Didascalia;Denominazione;Localita;Indirizzo;Civico;Comune;Telefono;Email;SitoWeb;Categoria;Categoria Secondaria;Latitudine;Longitudine;orario;noteorario;Ingresso
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/60A.jpg;Ittiosauro;Museo Speleopaleontologico ed Archeologico;ex monastero di San Vittore;fraz. San Vittore delle chiuse;7;GENGA;0732 90241;grotte@frasassi.com;http://www.frasassi.com;Storia naturale e scienze naturali;Archeologia;43.4022;12.9704;"10.30-13.30/15-18; chiuso i luned� da ottobre a marzo, 4 e 25 dicembre, 1 e 10-30 gennaio.";L'orario � adeguato a quello delle Grotte di Frasassi.;"prezzo intero: 4 ?; prezzo ridotto: 1 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/73A.jpg;Ercole Ramazzani;Museo Diocesano;Palazzo Ripanti Nuovo;P.zza Federico II;7;JESI;0731/226749;museo@jesi.chiesacattolica.it;http://www2.glauco.it/jesi/diocesi/home.htm;Arte;Territoriale;43.5245;13.2456;Tutto l'anno lun-ven 9:30-13. Estate (15 giugno - 8 settembre) anche sab-dom 16-19. Inverno dom 17-20;"14 agosto: Notte dell'Assunta visite guidate in notturna; 22 settembre Conosciamo San Settimio, laboratori pomeridiani per bambini";
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/74A.jpg;Sale Pergolesiane, interno;Galleria del teatro: Sale Pergolesiane e Spontiniane;Teatro G.B Pergolesi;Piazza della Repubblica;9;JESI;0731.202944;info@fpsjesi.com;http://www.fondazionepergolesispontini.com;Specializzato;;43.5221;13.2436;Aperto su prenotazione;;Ingresso ?1
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/75A.jpg;Testa virile;Museo Archeologico di Jesi e del territorio;Jesi/Complesso San Floriano;Piazza Federico II;7;JESI;;;http://www.comune.jesi.an.it;Archeologia;;43.5248;13.2454;MUSEO CHIUSO;MUSEO CHIUSO;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/79A.jpg;Ambito francese, Scena de La Vestale di Gaspare Spontini;"Archivio, Biblioteca, Museo ""Gaspare Spontini""";Casa Gaspare Spontini;Via Gaspare Spontini;15/17;MAIOLATI SPONTINI;"0731 704451; 0731 70751";"spontini@alice.it; comune@maiolati.spontini.it";http://www.maiolati.spontini.it;Specializzato;;43.4763;13.1172;inverno e luglio: sab.dom. 15-19, agosto: tutti i giorni 16-20, settembre 10-13/17-20 tutti giorni. A causa di lavori in corso da luglio 2011 � possibile visitare il Museo solo previa prenotazione al 3336688998.;"Il tempo necessario per la visita � di circa 30'; per ragioni di spazio e sicurezza i visitatori non possono superare le sei unit� per ogni turno di visita. Per prenotare tel. 3336688998";"prezzo intero: 2,5 ?; prezzo ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/81A.jpg;Manifesto;Museo Comunale e della Mail Art;Teatro comunale;Via Circonvallazione;41;MONTECAROTTO;0731/89131;anagrafe@comune.montecarotto.an.it;http://www.comune.montecarotto.an.it  www.musan.it;Arte;;43.5263;13.0643;"ven-lun pasqua 15-19;fino 30/06 e 1/9-31/12 dom 10.3-12.3 15.3-18.3; 1/7-31/8 ven sab dom 17-20";;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/84A.jpg;Statua di personaggio in seminudit� eroica, I sec. d. C.;Lapidario Comunale;;Piazza del Comune;1;OSIMO;;biblioteca@comune.osimo.an.it;http://www.comune.osimo.an.it;Archeologia;;43.4861;13.4825;;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/86A.jpg;Ritratto di anziano;Museo Civico Citt� di Osimo (Sezioni artistica e archeologica);Palazzo Campana;Via Campana;6;OSIMO;071 7231773;biblioteca@comune.osimo.an.it;http://www.comune.osimo.an.it;Arte;Archeologia;43.4867;13.4857;"Ottobre-maggio: ven e sab: 17.30-19.30; dom: 10-12.30 e 17.30-19.30. Giugno-settembre: ven sab 18-20, dom 10-12.30, 18-20. Lapidario: inverno, ven 17.30-19, Estate: ven 18-19.";Per visite guidate � prevista l'apertura su prenotazione.;"Intero: 2 ?; ridotto: 1 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/90A.jpg;Manifattura italiana inizi XVII secolo, Pianeta;Museo Diocesano;;Piazza Duomo;7;OSIMO;0717231808;info@duomodiosimo.it;http://www.duomodiosimo.it;Storia;Arte;43.4863;13.4806;sabato: 16.00 - 19.00, domenica: 10.00 - 12.00  16.00 - 19.00;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1281/Thumbs/95A.jpg;Palazzo dei Conventuali, interno;"""Citt� di Ostra "" - Pinacoteca Comunale";Palazzo dei Padri Conventuali;Via Gramsci;10;OSTRA;0731 7980606;cultura.ostra@provincia.ancona.it;http://comune.ostra.an.it;Arte;Storia naturale e scienze naturali;43.6149;13.1592;MUSEO CHIUSO;MUSEO CHIUSO;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/14E.jpg;Manifattura dell?Italia Settentrionale, cofanetto;Museo Diocesano;Palazzo Roverella;P.zza Arringo;10/b;ASCOLI PICENO;0736/252883;museodiocesano.ap@libero.it;http://www.ascolipiceno.chiesacattolica.it;Arte;;42.8533;13.5784;sabato e domenica;;"Intero: 3,5 ?; ridotto: 2,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/24E.jpg;Tazza-attingitoio con anse a testa di animale stilizzato, VI sec. a.C.;Museo Archeologico del Territorio;Palazzo Cipolletti;via Castello;5;CUPRA MARITTIMA;0735/778561;info@comune.cupra-marittima.ap.it - archeo@siscom.it;http://www.archeocupra.it;Archeologia;Territoriale;43.031;13.8589;Giu-sett: tutti i giorni tranne il luned�. Periodo pasquale, natalizio e durante le altre festivit�;i giorni e gli orari di apertura variano a seconda del periodo dell' anno;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/28E.jpg;Logo del Museo;Museo Laboratorio di Archeologia;Palazzo  Comunale;Via Sotto I Torrioni;SNC;MONSAMPOLO DEL TRONTO;0735704116;urbanistica@comune.monsamplodeltronto.ap.it;http://www.comune.monsampolodeltronto.ap.it;Archeologia;;42.8976;13.7942;concordato con l'utenza. Museo chiuso nel 2009 per nuovo allestimento.;concordato con l'utenza.Chiuso nel 2009 per nuovo allestimento a seguito di nuove campagne di scavo;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/31E.jpg;Polo Museale San Francesco, Sala Giancarlo Basili;Polo Museale di San Francesco;Convento di San Francesco;piazza San Francesco;6;MONTEFIORE DELL'ASO;0734.938743;"direzione@museipiceni.it; montefiore@museipiceni.it";http://www.museipiceni.it;Arte;Etnografia e antropologia;43.0516;13.7501;"Ultima settimana di Settembre - Maggio: sab, dom. e festivi 10-13, 15-18; Giugno: sab, dom e festivi 10-13, 17-20; Luglio: dal mar al ven 17-20; Agosto: da lun a ven 17-20, sab, dom e festivi 10-13, 17-20.";Audioguida: gratuita. Il biglietto Musei Piceni consente l'accesso ai 4 poli museali di Offida, Ripatransone, Montefiore dell'Aso, Monterubbiano. Per attivit� didattica tel. 349.8336403.;"Intero 3,5?; ridotto 2?; Musei Piceni 10?. Riduzione per chi si presenti con biglietto di un altro dei Poli della rete Musei Piceni."
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/35E.jpg;Museo del Merletto, percorso per i non vedenti;Polo Museale di Palazzo De Castellotti;Palazzo De Castellotti;Via Roma;17;OFFIDA;0736.888609;"direzione@museipiceni.it ; offida@museipiceni.it";http://www.museipiceni.it;Specializzato;Archeologia;42.934;13.6898;13 giugno- 15 settembre tutti i giorni 10-12.30, 15.30-19.30 (ven. anche 21-24), inverno: sab. dom. fest. prefest. Natale e Pasqua:10-12.30, 15-19.;Audioguida: gratuita. Il biglietto Musei Piceni consente l'accesso ai 4 poli museali di Offida, Ripatransone, Montefiore dell'Aso, Monterubbiano.;"Intero: 3,50 ?; ridotto: 2?; polo civico (S. Maria della Rocca e Teatro) 6?; Musei Piceni 10?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/46E.jpg;Anfora;Museo delle Anfore;Palazzo del Mercato Ittico;Viale Colombo;92;SAN BENEDETTO DEL TRONTO;0735/592177;musei@comune.san-benedetto-del-tronto.ap.it;;Archeologia;;42.9569;13.8825;Inverno: da luned� a sabato h.9-12/16-19Estate: da marted� a domenica h. 18-24;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/48E.jpg;Ignoto sec. XVIII, I quattro Evangelisti;Museo d?Arte Sacra di San Benedetto del Tronto - Musei Sistini del Piceno;Palazzo Radicioni;Via Pizzi;25;SAN BENEDETTO DEL TRONTO;"0735/594960; 347.3804444";info@museisistini.it;www.museisistini.it;Arte;Specializzato;42.9495;13.8781;nei periodi di Natale, Pasqua fino al primo maggio. Luglio e agosto: 18-20, la domenica anche 10.30-12.30. Per orari specifici consultare il sito o 347.3804444;Fino al 15 settembre 2013 aperto tutti i giorni 18 - 20 e la domenica anche 10.30 - 12.30.;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1282/Thumbs/6E.jpg;Pinacoteca Civica, interno;Pinacoteca Civica;;Piazza Arringo;7;ASCOLI PICENO;0736/298213;musei.civici@comune.ascolipiceno.it;http://www.ascolimusei.it;Arte;;42.8535;13.5779;10/19 marted�-domenica;;"Intero: 8 ?; ridotto: 5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/17D.jpg;Giovanni di Ugolino da Milano, Missale de Firmonibus, codice miniato;Museo Diocesano;Oratorio Confraternita del Suffragio;Piazzale Girfalco;snc;FERMO;0734.229350;beniculturali@fermo.chiesacattolica.it;"http://www.fermodiocesi.it; www.fermomusei.it";Arte;Archeologia;43.1613;13.7166;"Settembre-maggio: su prenotazione e durante i fine settimana; luglio-agosto: tutti i giorni 10-13, 16-20. Il 15 agosto: 10-13, chiuso pomeriggio.";Biglietto di Rete Civica (7 gg.): accesso a Polo Mus. Pal. Priori, Cisterne, Musei Villa Vitali, Cattedrale, Oratorio S. Monica, riduzione musei S. Elpidio a Mare e sconti in esercizi convenzionati.;Biglietto di Rete Civica: intero 7,50?, ridotto 4,50?. Biglietto singolo: intero 3?, ridotto (6-14 anni, over 65, gruppi superiori a 15) 2?.
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/20D.jpg;Museo di Villa Vitali, esterno;Musei scientifici di Villa Vitali: Museo ornitologico ?T. Salvadori?, Sala della meteorite, Museo Polare ?S. Zavatti?, Museo della Pipa ?N. Rizzi?, Raccolta materiale fotografico ?A. Matacotta Cordella?;Villa Vitali;Viale Trento;29;FERMO;0734.226166;info@museiscientifici.it;"http://www.museiscientifici.it; www.fermomusei.it";Etnografia e antropologia;Storia naturale e scienze naturali;43.1656;13.7245;"Luglio-agosto: luned�, mercoled�, venerd� 9 -12.30, 15.30-18.30; marted� e gioved� 9-12.30; sabato domenica e festivi 16-20; settembre-maggio dal luned� al venerd� 9-12.30, lun. mer. ven. anche 15.30-18.30, sabato 15.30-18, domenica 15.30-19";Biglietto di Rete Civica (7 gg.): accesso a Polo Mus. Pal. Priori, Cisterne, Museo Dioces., Cattedrale, Oratorio S. Monica, riduzione per musei S. Elpidio a Mare e sconti in esercizi convenzionati.;"Biglietto di Rete Civica: intero 7,50?, ridotto 4,50?. Biglietto singolo: intero 2?;ridotto (6-14 anni, over 65, gruppi superiori a 15) 1?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/26D.jpg;Testa di Demetra ? Cerere, II sec. d. C.;"Museo Archeologico ""Pompilio Bonvicini""";ex convento San Francesco;Piazza della Libert�;1;FALERONE;0734759670;info@parcoarcheologico.it;http://www.parcoarcheologico.it;Archeologia;;43.1055;13.4702;"dal 7 luglio al 4 agosto: tutti i giorni 16-19. dal 4 al 31 agosto: domeniche e festivi 16-19. Giugno e ottobre: sabato domenica e festivi 10-12, 17-19;  settembre: venerd� sabato domenica e festivi 10-12, 17-19; festivit� di Natale e Pasqua 10-12, 15-17;";;"prezzo intero: 5 ?; prezzo ridotto: 3 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/29D.jpg;Sala Comunale, interno;Polo Culturale  San Francesco ? Museo Civico Archeologico;Complesso conventuale di San Francesco;via Pagani;25;MONTERUBBIANO;"0734.259980; 0734.257396";"direzione@museipiceni.it; monterubbiano@museipiceni.it";"http://www.museipiceni.it; www.monterubbiano.com";Archeologia;Storia naturale e scienze naturali;43.0858;13.7169;Inverno: sabato e domenica 10-12, 15-17.Luglio-agosto: da marted� a domenica e festivi 10-12, 17-19.;Audioguida: gratuita. Il biglietto Musei Piceni consente l'accesso ai 4 poli museali di Offida, Ripatransone, Montefiore dell'Aso, Monterubbiano.;"Intero: 2,5 ?; ridotto: 2?; Polo civico: intero 3,5? ridotto 3?; Musei Piceni: 10?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/32D.jpg;Osvaldo Licini, Fanciullo (?);"Centro studi ""Osvaldo Licini""";Palazzo Comunale;Piazza Osvaldo Licini;9;MONTE VIDON CORRADO;0734.759348;info@centrostudiosvaldolicini.it;http://www.centrostudiosvaldolicini.org;Arte;;43.1215;13.4846;Luglio- 18 agosto: da marted� a domenica 10-12, 17-19. Venerd�: 10-12, 17-23. Settembre: Sabato e domenica 17-20.;Per informazioni e visite fuori orario, chiamare il numero 334 9276790.;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/35D.jpg;Vincenzo Pagani, Madonna in Gloria e Santi;"Pinacoteca ""Patrizio Gennari""";Palazzo Comunale;Piazza Castello;15;MORESCO;0734.259983;cultura.moresco@ucvaldaso.it;http://www.comune.moresco.fm.it;Arte;;43.0856;13.7315;"Inverno: sabato e domenica 15-17; estate: tutti i giorni 17-20, 21-23.";;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/36D.jpg;Vittore Crivelli, Polittico;Pinacoteca Civica ?Vittore Crivelli?;Palazzo Ex Convento dei Filippini;Corso Baccio;31;SANT'ELPIDIO A MARE;0734.859279/ 8196372;"sem@sistemamuseo.it; culturaeturismo@santelpidioamare.it";http://www.santelpidioamare.it/turismo;Arte;;43.2302;13.6849;Dal 1 aprile al 6 gennaio venerd�: 10-12/16-19, sabato: 16-19, domenica e festivi: 16-19. Luglio-agosto: da mercoled� a domenica 16-19.30, venerd� 10-12.;Chiuso dal 7 gennaio al 31 marzo, 25 dicembre, 1 gennaio. I musei di Sant'Elpidio a Mare aderendo alla Rete museale del Polo Fermano danno diritto a tariffa ridotta per i Musei di Fermo.;"Intero: 4.50?; ridotto: 3.50 ?(studenti con insegnanti, gruppi da 10, Biglietti Musei di Fermo,ACI, TCI, Italia nostra, FAI), gratuito (under 15 over 65, studiosi)"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1283/Thumbs/39D.jpg;Calzature;Museo della Calzatura ?Cav. Vincenzo Andolfi?;Palazzo Ex Convento dei Filippini;Corso Baccio;31;SANT'ELPIDIO A MARE;0734.859279/ 8196372;"sem@sistemamuseo.it; culturaeturismo@santelpidioamare.it";http://www.santelpidioamare.it/turismo;Specializzato;;43.2302;13.6849;Dal 1 aprile al 6 gennaio venerd�: 10-12/16-19, sabato: 16-19, domenica e festivi: 16-19. Luglio-agosto: da mercoled� a domenica 16-19.30, venerd� 10-12.;Chiuso dal 7 gennaio al 31 marzo, 25 dicembre, 1 gennaio. I musei di Sant'Elpidio a Mare aderendo alla Rete museale del Polo Fermano danno diritto a tariffa ridotta per i Musei di Fermo.;"Intero: 4.50?; ridotto: 3.50 ?(studenti con insegnanti, gruppi da 10, Biglietti Musei di Fermo,ACI, TCI, Italia nostra, FAI), gratuito (under 15 over 65, studiosi)"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/100C.jpg;Lorenzo Salimbeni, Nozze mistiche di Santa Caterina d?Alessandria;"Pinacoteca Comunale ""Tacchi-Venturi""";Palazzo Manuzzini;Via Salimbeni;39;SAN SEVERINO MARCHE;0733638095;DISANS10@pinacotecasanseverinomarche.191.it;http://www.comune.sanseverinomarche.mc.it;Arte;;43.2282;13.1742;INVERNALE 9.00-13.00    ESTIVO 9.00-13.00, 16.00-19.00. CHIUSO IL LUNEDI';Aperto il sabato, la domenica e le festivit� infrasettimanali;Ingresso a pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/110C.jpg;Vincenzo Pagani, Santa Lucia;Pinacoteca Comunale e Musei Civici;ex Monastero di Santa Chiara;Via Giacomo Leopardi;179;SARNANO;0733.659923;beniculturali@scoccogabrielli.it;http://www.scoccogabrielli.it;Arte;Scienza e tecnica;43.0358;13.2992;"Festivit� fr 16-19 pf-fs 10-13/16-19 Estate 10-12/17-19.30 Mostra Mercato fr 17-21 pf-fs 9-13/15-22.Dall'8/12 al 7/1 l'orario �: feriali 16-19; festivi e prefestivi 10-12, 16-19";"Fino al 6 novembre 2011 presso il Palazzo del Popolo � allestita la mostra ""Vittore Crivelli"" www.vittorecrivelli.it";"Intero: 5 ?; ridotto: 3,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/115C.jpg;Cappellone di San Nicola, Scuola riminese, Angeli musicanti (part.);Museo del Santuario della Basilica di San Nicola;Basilica di San Nicola;Piazza San Nicola;3;TOLENTINO;0733/976311;"agostiniani@sannicoladatolentino.it; libreria@sannicoladatolentino.it";http://sannicoladatolentino.it;Arte;;43.2083;13.2862;Tutti i giorni dalle 9.30-12.00/16.00-19.00;;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/120C.jpg;Statua femminile;"Museo Archeologico ""Aristide Gentiloni Silverj""";Castello della Rancia;Contrada Rancia;snc;TOLENTINO;0733/973349;"info@biennaleumorismo.org; agnese.paoloni@comune.tolentino.mc.it";http://www.comune.tolentino.mc.it;Archeologia;;43.2308;13.3558;Orario invernale:10.00-13.00/15.00-18.00. Orario estivo:10.00-13.00/15.00-19.00.;"Aperture mesi invernali:sab-dom-festivi(6 ore);aprile-ottobre:chiuso solo il lunedi.";"prezzo intero: 4 ?; prezzo ridotto: 2,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/122C.jpg;Ritratto di Druso Maggiore;Museo  Archeologico dell?Abbazia di Santa Maria di Chiaravalle di Fiastra;Abbadia di S. Maria di Chiaravalle di Fiastra;Contrada Abbadia di Fiastra (Strada Statale78);2;TOLENTINO;0733/202122;riserva@abbadiafiastra.net;http://www.abbadiafiastra.net;Archeologia;;43.2215;13.4036;periodi estivi: 10.00-13.00/15.00-19.00periodi invernali:10.00-13.00/15.00-18.00;;"prezzo intero: 3 ?; prezzo ridotto: 3 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/126C.jpg;Statua egizia virile;Museo Civico Archeologico;;viale Nazario Sauro;;TREIA;0733.218711 (Comune) - 0733.215919 (IAT);prolocotreia.iat@treia.sinp.net;www.treia.sinp.net;Archeologia;;43.3097;13.3144;aperto Sabato, Domenica e festivi dalle 9.00 alle 12.00 e dalle 15.30 alle 19.30. Altri giorni su richiesta chiamando il numero 0733.215919 (IAT);;Ingresso a pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/127C.jpg;Testa virile;Parco Archeologico di Urbs Salvia;;Via del Sacrario;;URBISAGLIA;0733.50107;;"www.meridianasrl.it; www.archeomarche.it";Archeologia;;43.1997;13.386;"dal 1 aprile al 13 giugno: domenica e festivi 10-13 e 15-19; dal 14 giugno al 14 settembre: tutti i giorni 10-13 e 15-19; dal 15 settembre al 31 dicembre: sabato domenica e festivi 10-13 e 15-18.";Al di fuori degli orari il Parco viene aperto su prenotazione.;Ingresso a pagamento
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/130C.jpg;Maestro della Madonna di Macereto, Madonna col Bambino;Museo Civico Diocesano Museo dei manoscritti leopardiani;Ex Chiesa di Sant'Agostino;Piazza Martiri Vissani;snc;VISSO;335/7589254;protocollo@visso.sinp.net;www.museiciviciediocesanimarche.it;Arte;Specializzato;42.9314;13.0871;Inverno:sab.(15.30-18.30)dom./festivi(10.30-12.30/15.30-18.30) Dal15/7al15/9:tutti i gg(lun.matt.chiuso);Apertura dal 27/12 al 4/01 tutti i giorni dalle 15.30 alle 18.30.;"prezzo intero: 5 ?; prezzo ridotto: 3,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/17C.jpg;Maestro della Madonna di Macereto, Santa Lucia (part.);"Museo e Pinacoteca Diocesana ""G. Boccanera""";Palazzo Arcivescovile;P.zza Cavour;12;CAMERINO;0737-630400;"museo@arcidiocesicamerino.it; curia@arcidiocesicamerino.it";http://www.museiciviciediocesanimarche.it;Arte;;43.1358;13.0682;aprile-settembre: da giov a dom 10-13 16-19. ottobre-marzo  sab dom 10-13 15-18;;"Intero: 3,1 ?; ridotto: 2,1 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/19C.jpg;Bottega marchigiana, Croce astile (part.);Museo della Basilica di San Venanzio;;Piazza San Venanzio;10;CAMERINO;0737.630400 - 0737.632752;curia@arcidiocesicamerino.it;;Arte;;43.1378;13.0736;apertura su richiesta;;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/22C.jpg;"Castello di Lanciano e Museo ""Maria Sofia Giustiniani Bandini"", esterno";Castello di Lanciano e Museo Maria Sofia Giustiniani Bandini;Castello di Lanciano;Localit� Lanciano;3;CASTELRAIMONDO;"0737.641663 (orario di apertura); 335.7589251";castellolanciano@gmail.com;http://www.museiciviciediocesanimarche.it;Arte;;43.1893;13.038;Apertura nei fine settimana e festivi 10-12.30/15-18.30;;"prezzo intero: 5 ?; prezzo ridotto: 3 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/26C.jpg;Olla ovoide biansata;Museo Archeologico Statale;Palazzo Comunale;Piazza Vittorio Emanuele II;5;CINGOLI;0733.603399;;www.archeomarche.it  www.cingoli.sinp.net  www.archeologiamacerata.sinp.net;Archeologia;;43.3741;13.2163;"aperto luned�, marted�, domenica e festivi 8.30-13.30; gioved�, venerd� e sabato 15-19. Chiuso la II e la IV domenica del mese, 1 gennaio, 1 maggio e 25 dicembre.";;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/29C.jpg;Bottega marchigiana, Croce astile;Raccolta della collegiata di Sant?Esuperanzio;collegiata di  Sant'Esuperanzio;Piazza Zucconi;1;CINGOLI;0733/602473;salvuccis@libero.it;;Arte;;43.3743;13.2032;"tutti i giorni dalle 8 alle 19,chiesa e sagrestia; su richiesta archivio e cripta";;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/2C.jpg;Ivo Pannaggi, Treno in corsa;Museo Palazzo Ricci. Arte Italiana del Novecento;Palazzo Ricci;Via Domenico Ricci;1;MACERATA;0733.261487;info@fondazionemacerata.it;"http://www.fondazionemacerata.it; http://www.palazzoricci.it";Arte;;43.2992;13.4506;"aperto da marzo a dicembre sabato domenica e festivi 10-13 e 16-20; luglio e agosto tutti i giorni 10-13 e 16-20";;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/31C.jpg;"Galleria d'arte moderna ""Moretti"", interno";Pinacoteca civica ? Galleria d?Arte Moderna ?M. Moretti?;Civitanova Marche Alta;Via Annibal caro;24;CIVITANOVA MARCHE;0733.891019;info@pinacotecamoretti.it;http://www.pinacotecamoretti.it;Arte;;43.3164;13.6788;Da luned� a sabato 9 - 13. Per gruppi di minimo 10 persone anche su appuntamento il sabato e la domenica.;Le aperture straordinarie sono comunicate sul sito.;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/33C.jpg;Renzo C. Ventura, copertina de Le adolescenti di Mario Mariani, Modernissima, Milano 1919;Museo della Memoria ?Renzo Contratti Ventura?;Colmurano, Ex Chiesa Ss. Ap. Petro et Paullo;Viale De Amicis;SNC;COLMURANO;0733508287;comune@colmurano.sinp.net;http://www.museoventura.sinp.net;Arte;;43.1642;13.3578;"10-13; 16-19";;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/34C.jpg;Durante Nobili, Madonna con il Bambino in gloria e santi;Pinacoteca Comunale;Palazzo Persichetti Ugolini;Piazza del Popolo;SNC;CORRIDONIA;0733.439901;"segreteria@comune.corridonia.mc.it; labirinto@cheapnet.it";http://www.comune.corridonia.mc.it;Arte;;43.2482;13.5088;Sabato e domenica 17-19, oppure su richiesta.;;
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/36C.jpg;Andrea da Bologna, Madonna del Latte;Pinacoteca Parrocchiale;Chiesa dei Santi Pietro, Paolo e Donato;Via Cavour;54;CORRIDONIA;0733.431832;;www.corridonia.sinp.net - www.sistemamuseale-mc.it;Arte;;43.2497;13.5123;Aperto su richiesta con 24 ore di anticipo;;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/39C.jpg;Ursus spelaeus, risalente al Quaternario;Museo di Storia Naturale;;Via Tripoli;9;GAGLIOLE;0737 640031;m.storianaturale@libero.it;http://www.museostorianaturalegagliole.it;Storia naturale e scienze naturali;;43.2382;13.0675;da Sett. a Giu. 15.00/19.00 sab.dom.festiviLuglio ed Agosto 10.00/13.00-16.00/19.00 chiuso il luned�;aperture straordinarie su richiesta;"prezzo intero: 2,5 ?; prezzo ridotto: 1,5 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/41C.jpg;"Orologio solare sferico detto ""Globo di Matelica"", I-II sec. d. C.";Museo Civico Archeologico;Palazzo Finaguerra;Via San Francesco;snc;MATELICA;0737.787244;museoarcheo@comune.matelica.mc.it;http://www.comune.matelica.mc.it;Archeologia;Arte;43.2573;13.0106;Invernale: 16.30-19.30 CHIUSO IL MARTEDI'estivo: 10.30-13/16.30/19 CHIUSO IL MARTEDI';;"prezzo intero: 3 ?; prezzo ridotto: 2 ?"
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/5C.jpg;Antiquarium, interno;Antiquarium;Rocca;frazione Pievefavera;;CALDAROLA;0733.905529 (Comune);comune@caldarola.sinp.net;www.caldarola.sinp.net;Archeologia;;43.14;13.1956;aperto su prenotazione;;Ingresso gratuito
http://sirpac.cultura.marche.it/SirpacIntraWeb/storage/Label/1284/Thumbs/6C.jpg;Ciro Stajano, Scena di Fucilazione;"Museo Civico ""L'Arte nella Resistenza""";sotterranei del Palazzo dei Cardinali Pallotta, ora sede municipale;Piazza Vittorio Emanuele II;13;CALDAROLA;0733.905529;angelo.seri@caldarola.sinp.net;http://www.caldarola.sinp.net;Specializzato;;43.1381;13.2264;Apertura su richiesta;;Ingresso a pagamento
